-0.965,0.195
-0.965,0.21
-0.965,0.225
-0.965,0.24
-0.95,-0.24
-0.95,-0.225
-0.95,-0.21
-0.95,-0.195
-0.95,-0.18
-0.95,-0.165
-0.95,-0.15
-0.95,-0.135
-0.95,-0.12
-0.95,-0.105
-0.95,-0.09
-0.95,-0.075
-0.95,-0.06
-0.95,-0.045
-0.95,-0.03
-0.95,-0.015
-0.95,0
-0.95,0.015
-0.95,0.03
-0.95,0.045
-0.95,0.06
-0.95,0.075
-0.95,0.09
-0.95,0.105
-0.95,0.12
-0.95,0.135
-0.95,0.15
-0.95,0.165
-0.95,0.18
-0.95,0.195
-0.95,0.21
-0.95,0.225
-0.95,0.24
-0.935,-0.24
-0.935,-0.225
-0.935,-0.21
-0.935,-0.195
-0.935,-0.18
-0.935,-0.165
-0.935,-0.15
-0.935,-0.135
-0.935,-0.12
-0.935,-0.105
-0.935,-0.09
-0.935,-0.075
-0.935,-0.06
-0.935,-0.045
-0.935,-0.03
-0.935,-0.015
-0.935,0
-0.935,0.015
-0.935,0.03
-0.935,0.045
-0.935,0.06
-0.935,0.075
-0.935,0.09
-0.935,0.105
-0.935,0.12
-0.935,0.135
-0.935,0.15
-0.935,0.165
-0.935,0.18
-0.935,0.195
-0.935,0.21
-0.935,0.225
-0.935,0.24
-0.92,-0.255
-0.92,-0.24
-0.92,-0.225
-0.92,-0.21
-0.92,-0.195
-0.92,-0.18
-0.92,-0.165
-0.92,-0.15
-0.92,-0.135
-0.92,-0.12
-0.92,-0.105
-0.92,-0.09
-0.92,-0.075
-0.92,-0.06
-0.92,-0.045
-0.92,-0.03
-0.92,-0.015
-0.92,0
-0.92,0.015
-0.92,0.03
-0.92,0.045
-0.92,0.06
-0.92,0.075
-0.92,0.09
-0.92,0.105
-0.92,0.12
-0.92,0.135
-0.92,0.15
-0.92,0.165
-0.92,0.18
-0.92,0.195
-0.92,0.21
-0.92,0.225
-0.92,0.24
-0.92,0.255
-0.905,-0.225
-0.905,-0.21
-0.905,-0.195
-0.905,-0.18
-0.905,-0.165
-0.905,-0.15
-0.905,-0.135
-0.905,-0.12
-0.905,-0.105
-0.905,-0.09
-0.905,-0.075
-0.905,-0.06
-0.905,-0.045
-0.905,-0.03
-0.905,-0.015
-0.905,0
-0.905,0.015
-0.905,0.03
-0.905,0.045
-0.905,0.06
-0.905,0.075
-0.905,0.09
-0.905,0.105
-0.905,0.12
-0.905,0.135
-0.905,0.15
-0.905,0.165
-0.905,0.18
-0.905,0.195
-0.905,0.21
-0.905,0.225
-0.89,-0.21
-0.89,-0.195
-0.89,-0.18
-0.89,-0.165
-0.89,-0.15
-0.89,-0.135
-0.89,-0.12
-0.89,-0.105
-0.89,-0.09
-0.89,-0.075
-0.89,-0.06
-0.89,-0.045
-0.89,-0.03
-0.89,-0.015
-0.89,0
-0.89,0.015
-0.89,0.03
-0.89,0.045
-0.89,0.06
-0.89,0.075
-0.89,0.09
-0.89,0.105
-0.89,0.12
-0.89,0.135
-0.89,0.15
-0.89,0.165
-0.89,0.18
-0.89,0.195
-0.89,0.21
-0.875,-0.225
-0.875,-0.21
-0.875,-0.195
-0.875,-0.18
-0.875,-0.165
-0.875,-0.15
-0.875,-0.135
-0.875,-0.12
-0.875,-0.105
-0.875,-0.09
-0.875,-0.075
-0.875,-0.06
-0.875,-0.045
-0.875,-0.03
-0.875,-0.015
-0.875,0
-0.875,0.015
-0.875,0.03
-0.875,0.045
-0.875,0.06
-0.875,0.075
-0.875,0.09
-0.875,0.105
-0.875,0.12
-0.875,0.135
-0.875,0.15
-0.875,0.165
-0.875,0.18
-0.875,0.195
-0.875,0.21
-0.875,0.225
-0.86,-0.195
-0.86,-0.18
-0.86,-0.165
-0.86,-0.15
-0.86,-0.135
-0.86,-0.12
-0.86,-0.105
-0.86,-0.09
-0.86,-0.075
-0.86,-0.06
-0.86,-0.045
-0.86,-0.03
-0.86,-0.015
-0.86,0
-0.86,0.015
-0.86,0.03
-0.86,0.045
-0.86,0.06
-0.86,0.075
-0.86,0.09
-0.86,0.105
-0.86,0.12
-0.86,0.135
-0.86,0.15
-0.86,0.165
-0.86,0.18
-0.86,0.195
-0.845,-0.195
-0.845,-0.18
-0.845,-0.165
-0.845,-0.15
-0.845,-0.135
-0.845,-0.12
-0.845,-0.105
-0.845,-0.09
-0.845,-0.075
-0.845,-0.06
-0.845,-0.045
-0.845,-0.03
-0.845,-0.015
-0.845,0
-0.845,0.015
-0.845,0.03
-0.845,0.045
-0.845,0.06
-0.845,0.075
-0.845,0.09
-0.845,0.105
-0.845,0.12
-0.845,0.135
-0.845,0.15
-0.845,0.165
-0.845,0.18
-0.845,0.195
-0.83,-0.18
-0.83,-0.165
-0.83,-0.15
-0.83,-0.135
-0.83,-0.12
-0.83,-0.105
-0.83,-0.09
-0.83,-0.075
-0.83,-0.06
-0.83,-0.045
-0.83,-0.03
-0.83,-0.015
-0.83,0
-0.83,0.015
-0.83,0.03
-0.83,0.045
-0.83,0.06
-0.83,0.075
-0.83,0.09
-0.83,0.105
-0.83,0.12
-0.83,0.135
-0.83,0.15
-0.83,0.165
-0.83,0.18
-0.815,-0.165
-0.815,-0.15
-0.815,-0.135
-0.815,-0.12
-0.815,-0.105
-0.815,-0.09
-0.815,-0.075
-0.815,-0.06
-0.815,-0.045
-0.815,-0.03
-0.815,-0.015
-0.815,0
-0.815,0.015
-0.815,0.03
-0.815,0.045
-0.815,0.06
-0.815,0.075
-0.815,0.09
-0.815,0.105
-0.815,0.12
-0.815,0.135
-0.815,0.15
-0.815,0.165
-0.8,-0.15
-0.8,-0.135
-0.8,-0.12
-0.8,-0.105
-0.8,-0.09
-0.8,-0.075
-0.8,-0.06
-0.8,-0.045
-0.8,-0.03
-0.8,-0.015
-0.8,0
-0.8,0.015
-0.8,0.03
-0.8,0.045
